Title, Number_of_characters, Gender, birthDate, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
A. A. Milne, 0, NA, 1882-01-18, NA, 1956-01-31, NA, NA, NA, NA, NA, NA, NA, NA, Winnie-the-Pooh, University of Cambridge
A. E. W. Mason, 0, NA, 1865-05-07, NA, 1948-11-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Sherman-Palladino, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Winfrey, 0, NA, NA, 1974, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Ande Parks, 0, NA, 1964-10-01, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anders Jacobsson and Sören Olsson, 0, NA, 1963-08-04 and 1964-03-16, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andersen Gabrych, 0, NA, 1973-09-04, 1973, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrea Di Vito, 0, NA, NA, NA, NA, NA, NA, Italy, NA, NA, NA, NA, NA, NA, NA
Andreas Deja, 0, NA, 1957-04-01, 1957, NA, NA, NA, NA, NA, NA, NA, 1980, NA, NA, NA
Andrew Kreisberg, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Andrew Stanton, 0, NA, 1965-12-03, 1965, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, NA
Andrew W. Marlowe, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrzej Sapkowski, 0, NA, 1948-06-21, NA, NA, NA, NA, NA, NA, NA, NA, 1986, History and Fantasy, The Witcher, NA
André Franquin, 0, NA, NA, NA, NA, NA, NA, Belgium, NA, NA, NA, NA, NA, NA, NA
Andy Breckman, 0, NA, 1955-03-03, NA, NA, NA, NA, NA, NA, NA, NA, 1982, Detective fiction and Comedy, Monk (TV series) and Rat Race (film) and I.Q. (film) and Arthur 2: On the Rocks and Sgt. Bilko and True Identity and Seven Second Delay, Boston University
Andy Clarke (comics), 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Andy Diggle, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Andy Kubert, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Andy Lanning, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Wilman, 0, NA, 1962-08-16 and 1969-08-16, 1969 and 1962, NA, NA, NA, NA, NA, NA, NA, 1994, NA, NA, NA
Angel Medina (artist), 0, NA, 1964-03-25, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Kincaid, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela and Luciana Giussani, 0, NA, NA, NA, 1987-02-12, 1987, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Sage, 0, NA, 1952-06-20, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Septimus Heap, NA
