Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
A. A. Milne, 7, NA, NA, 1882-01-18, 1882, 1956-01-31, NA, NA, NA, NA, NA, NA, NA, NA, Winnie-the-Pooh, University of Cambridge
A. E. W. Mason, 1, NA, NA, 1865-05-07, 1865, 1948-11-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Sherman-Palladino, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Winfrey, 1, NA, NA, NA, 1974, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Ande Parks, 1, Artist writer, NA, 1964-10-01, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anders Jacobsson and Sören Olsson, 3, NA, NA, 1963-08-04 and 1964-03-16, 1963, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andersen Gabrych, 2, Writer, NA, 1973-09-04, 1973, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrea Di Vito, 1, NA, NA, NA, NA, NA, NA, NA, Italy, NA, NA, NA, NA, NA, NA, NA
Andreas Deja, 2, NA, NA, 1957-04-01, 1957, NA, NA, NA, NA, NA, NA, NA, 1980, NA, NA, NA
Andrew Kreisberg, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Andrew Stanton, 4, NA, NA, 1965-12-03, 1965, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, NA
Andrew W. Marlowe, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrzej Sapkowski, 1, NA, NA, 1948-06-21, 1948, NA, NA, NA, NA, NA, NA, NA, 1986, History and Fantasy, The Witcher, NA
André Franquin, 1, NA, NA, NA, NA, NA, NA, NA, Belgium, NA, NA, NA, NA, NA, NA, NA
Andy Breckman, 1, NA, NA, 1955-03-03, 1955, NA, NA, NA, NA, NA, NA, NA, 1982, Detective fiction and Comedy, Monk (TV series) and Rat Race (film) and I.Q. (film) and Arthur 2: On the Rocks and Sgt. Bilko and True Identity and Seven Second Delay, Boston University
Andy Clarke (comics), 1, Artist, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Andy Diggle, 2, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Andy Kubert, 9, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Andy Lanning, 9, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
