Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Ande Parks,1,Artist writer,NA,1964-10-01,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andersen Gabrych,2,Writer,NA,1973-09-04,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Clarke (comics),1,Artist,NA,NA,NA,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Andy Wilman,1,British television presenter,NA,1962-08-16 and 1969-08-16,1962,NA,NA,NA,NA,NA,NA,NA,1994,NA,NA,NA
Angel Medina (artist),2,Artist,NA,1964-03-25,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angela and Luciana Giussani,2,Writers,NA,NA,NA,1987-02-12,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ann Biderman,1,American screenwriter,NA,1951-08-15,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annabel Jankel,1,British film director,NA,1955-06-01,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anne Rice,4,American writer,NA,1941-10-04,1941,NA,NA,NA,NA,NA,NA,NA,NA,Erotica and Horror fiction and Fantasy literature and Gothic fiction and Christian novel,NA,San Francisco State University
Alcée Fortier,2,American philologist and folklorist,NA,1856-06-05,1856,NA,1914,Louisiana Creole people,NA,NA,NA,NA,1880,NA,NA,NA
Alex Blum,1,Artist,NA,1889-02-07,1889,1969-09-01,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Gansa,2,American screenwriter and prodcuer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Lovy,5,Animator,NA,1913-09-02,1913,1992-02-14,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Saviuk,3,Artist,NA,1952-08-17,1952,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Alexander George Gurney,1,Artist,NA,1902-03-15,1902,1955-12-04,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ali LeRoi,1,American actor and filmmaker,NA,1962-02-12,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Bert Christman,1,Cartoonist,NA,1915-05-31,1915,1942-01-23,1942,NA,United States,NA,NA,NA,NA,NA,NA,NA
Alvin Lee (comics),1,Canadian-borncomic bookartist,NA,1980-01-23,1980,NA,NA,NA,Canadians,NA,NA,NA,NA,NA,NA,NA
Ambrós,1,Spanish comic-book cartoonist,NA,1913-08-31,1913,1992-09-30,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anupam Sinha,2,Comics artist,NA,NA,1962,NA,NA,NA,India,NA,NA,NA,NA,NA,NA,NA
Ardian Syaf,1,Comic Book Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Art Saaf,1,Comics creator,NA,1921-12-04,1921,2007-04-21,2007,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Arthur Pinajian,2,Writer,NA,1914-03-28,1914,1999-08-18,1999,NA,Armenian Americans,NA,NA,NA,NA,NA,NA,NA
Ashley Miller (screenwriter),1,American screenwriter,NA,1971-03-16,1971,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,College of William & Mary
Aurania Rouverol,1,American writer,NA,1886-08-13,1886,1955-06-23,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axel Alonso,1,Editor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Lopresti,5,Artist,NA,1964-01-07,1964,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Abid Surti,1,Indian author painter,NA,1935-05-05,1935,NA,NA,Gujarati people,Indian people,NA,NA,Muslim,NA,NA,NA,Sir Jamsetjee Jeejebhoy School of Art
Adam Hughes,1,Comic book artist,NA,1967-05-05,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Reed,2,American actor,NA,1970-01-08,1970,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Adrian Alphona,9,Canadian comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Gabriele,2,Artist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Al Gordon,7,Writer,NA,1953-06-22,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Weiss (comics),1,Artist,NA,1948-03-07,1948,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Barbara Euphan Todd,1,British writer,NA,1890-01-09,1890,1976-02-02,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barry Wong,1,Hong Kong screenwriter film producer and actor,NA,1946-11-20,1946,1991-10-16,1991,NA,NA,China,NA,NA,1980,Cinema of Hong Kong,NA,NA
Bart Sears,1,Artist,NA,1963-12-17,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beau Smith,2,Writer,NA,1954-12-17,1954,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Beau Willimon,2,Playwright,NA,1977-10-26,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbia University and Juilliard School
Ben Oliver,1,Artist,NA,NA,NA,NA,NA,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA
Ben Queen,1,Film screenwriter and TV producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Roberts (writer),1,American writer,NA,1916-03-23,1916,1984-05-12,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernard Baily,6,Artist,NA,1916-04-05,1916,1996-01-19,1996,NA,United States,NA,NA,NA,NA,NA,NA,NA
Beth Sullivan,1,American television producer,NA,1949-08-29,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevan Lee,4,Australian writer and television executive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill DuBay,1,Editor,NA,1948-01-11,1948,2010-04-15,2010,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bill Justice,1,American animator,NA,1914-02-09,1914,2011-02-10,2011,NA,NA,NA,NA,NA,1937,NA,NA,NA
Bill Woggon,1,American cartoonist,NA,1911-01-01,1911,2003-03-02,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Billy Tan,2,Artist,NA,NA,NA,NA,NA,NA,Malaysia,NA,NA,NA,NA,NA,NA,NA
Bob Hall (comics),2,Writer,NA,1944-10-16,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Haney,27,Writer,NA,1926-03-15,1926,2004-11-25,2004,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Bob Rozakis,10,Writer,NA,1951-04-04,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Schooley,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Wiacek,1,American comic writer,NA,1953-01-07,1953,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bobby A. Suarez,1,Filipino film director,NA,1942-11-27,1942,2010-02-08,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Mull,5,American fiction writer,NA,1974-11-08,1974,NA,NA,NA,United States,NA,NA,NA,2006,Young-adult fiction and Fantasy,Fablehaven (novel),Brigham Young University
Brandon Peterson,5,Writer,NA,1969-11-14,1969,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Brandon Vietti,1,Television producer and director,NA,1963-09-28,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brendan McCarthy,1,Artist,NA,NA,NA,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Brett Breeding,2,American artist,NA,1961-06-13,1961,NA,NA,NA,Citizenship in the United States,NA,NA,NA,NA,NA,NA,NA
Brian Reed,1,Writer,NA,1973-07-01,1973,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bruce Bairnsfather,1,British artist,NA,NA,1887,NA,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddhadeb Guha,1,Indian writer,NA,1936-06-29,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buzz Dixon,1,Writer,NA,1953-12-07,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byron Howard,5,American film director and animator,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Paris,2,Inker,NA,1911-09-25,1911,1994-03-19,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Soule,2,Comic writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,She-Hulk and Superman/Wonder Woman and Daredevil (Marvel Comics) and Letter_44 and Death of Wolverine,University of Pennsylvania and Columbia Law School
Charles Thorson,2,Cartoonist,NA,1890-08-29,1890,1966-08-07,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Burnham,1,Comic book artist,NA,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Giarrusso,1,Comic book artistand cartoonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
