title, gender, creator, genre, firstAppearance, species, birthDate, birthYear, deathDate, deathYear, deathCause, ethnicity, religion, nationality, country, region
Śakti Maharṣi, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
A. J. Chegwidden, NA, NA, NA, Smoked (20/03/1996)(JAG), NA, NA, NA, NA, NA, NA, NA, NA, NA
A. J. Quartermaine, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
A. J. Raffles (character), NA, E. W. Hornung, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aminedi, NA, Kirk Jarvinen and Fabian Nicieza, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amira Masood, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amita Ramanujan, NA, NA, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amnisiades, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amon Sur, NA, Judd Winick and Charlie Adlard and Ben Raab, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amos Brearly, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amos Fortune (comics), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ampelos, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphibian (comics), NA, J. Michael Straczynski and Steve Englehart and Gary Frank, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphibion, NA, Jack Kirby and Stan Lee, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphimedon, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphinome, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphinomus, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphissa (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphissus, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphitheus I, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amphius, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ampyx, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amuro Ray, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy (The Walking Dead), NA, Robert Kirkman, NA, Issue #3 (comics) and Days Gone Bye (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Barlow, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Barnes, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Fox (Blue Heelers), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Gardner, NA, Aaron Sorkin, NA, The Women of Qumar, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Greenwood, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Williams (Neighbours), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Wong, NA, NA, NA, The Series Has Landed, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amy Wyatt, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amygdala (comics), NA, Alan Grant (writer) and Norm Breyfogle, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amykos, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amyntor, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ana Lucia Cortez, NA, NA, NA, Exodus, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anachronism (comics), NA, Kev Walker and Dennis_Hopeless, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anaconda (comics), NA, Ralph Macchio (comics) and Mark Gruenwald, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anarky, NA, Alan Grant (writer), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anastasia Dualla, Female, NA, NA, Miniseries, Human, NA, NA, NA, NA, NA, NA, NA, NA
Anaxagoras (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anaxarete, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anaxo, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anchialus, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ancient One, NA, Steve Ditko and Stan Lee, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ancient Pistol, NA, William Shakespeare, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andi Fritzsche, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andie McPhee, NA, Kevin Williamson (screenwriter), NA, (episode 2.01) and The Kiss, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ando Masahashi, NA, NA, NA, Genesis, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andraemon, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrea (The Walking Dead), NA, Tony Moore (artist) and Robert Kirkman and Charlie Adlard, NA, Television: and Guts and Comic: and Issue #2 (Nov. 12 2003) and (1.02) (Nov. 7 2010), NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrea Beaumont, NA, Paul Dini and Alan Burnett, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrea Wyatt, NA, Aaron Sorkin, NA, Mandatory Minimums, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andreas Petofi, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Chord, NA, Mark Bagley and Fabian Nicieza, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Forson, NA, Jonathan Hickman and Ryan Stegman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Jackson Libby, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Robinson (Neighbours), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Van de Kamp, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrew Warrington, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Android 18, NA, Akira Toriyama, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andromeda (Marvel Comics), NA, Peter B. Gillis and Don Perlin and Kim_DeMulder, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andromeda Shun, NA, Masami Kurumada, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrzej Kmicic, NA, Henryk Sienkiewicz, NA, The Deluge, NA, NA, NA, NA, NA, NA, NA, NA, NA
André DiMera, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
André LeBlanc, NA, Marv Wolfman and Len_Wain, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andrés Goddzer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Barrett, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Bernard, NA, Greg Daniels, NA, Gay Witch Hunt, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Carver, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Dwyer, NA, NA, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Flynn, NA, James Duff (writer), NA, Pilot episode, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Hardy, NA, Aurania Rouverol, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Holt (Hollyoaks), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Hunter (EastEnders), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy O'Brien (EastEnders), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Panda, NA, Walter Lantz and Alex Lovy, NA, Life Begins for Andy Panda, Giant panda, NA, NA, NA, NA, NA, NA, NA, NA
Andy Sipowicz, NA, NA, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Sugden, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Taylor (The Andy Griffith Show), NA, Sheldon Leonard, NA, Danny Meets Andy Griffith, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Travis, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Andy Trudeau, NA, NA, NA, Something Wicca This Way Comes, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anelle, NA, Jack Kirby and Stan Lee, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angada, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angar the Screamer, NA, Gene Colan and Steve Gerber and John Tartaglione, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel (Thomas Halloway), NA, Paul Gustavson, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel Batista, NA, Jeff Lindsay (writer), NA, Book Series: and Darkly Dreaming Dexter and TV Series: and Dexter and Pilot episode: Dexter (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel Dust (comics), NA, Geoff Johns, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel Investigations, NA, Joss Whedon, NA, (episode 1.01) and City Of, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel Parrish, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angel Salvadore, NA, Grant Morrison and Ethan Van Sciver, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela (comics), NA, Neil Gaiman and Todd McFarlane, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Cassidy, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Channing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Hunter, NA, NA, NA, Caroline's First Day, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Martin, NA, Greg Daniels, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Montenegro, Female, Hart Hanson, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Petrelli, NA, NA, NA, Genesis, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angela Raymond, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angelica Pickles, NA, NA, NA, Rugrats and "Tommys First Birthday (1991)", NA, NA, NA, NA, NA, NA, NA, NA, NA
Angelina Veneziano, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angelique Bouchard Collins, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angelo Rosetta, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angelus (comics), NA, Marc Silvestri and David Wohl and Garth Ennis, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Bolen, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Rebecchi, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Russell, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angie Watts, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angle Man, NA, Robert Kanigher and H. G. Peter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Angstrom Levy, NA, Ryan Ottley and Robert Kirkman and Cory Walker, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anguirus, NA, Motoyoshi Oda, NA, Godzilla Raids Again (1955), Dinosaur, NA, NA, NA, NA, NA, NA, NA, NA
Angus MacGyver, NA, Lee David Zlotoff, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ani-Mator, NA, Louise Simonson and Bret Blevins, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anima (comics), NA, Elizabeth Hand and Paul_Witcover, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Animal-Vegetable-Mineral Man, NA, Bruno Premiani and Arnold Drake, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Animal (Muppet), NA, Dave Goelz and Michael K. Frith, NA, The Muppet Show: Sex and Violence (1975), NA, NA, NA, NA, NA, NA, NA, NA, NA
Animal Man, NA, Carmine Infantino, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aniruddha, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anirul, NA, Frank Herbert, NA, Dune: House Atreides (1999), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anita Blake, NA, Laurell K. Hamilton, NA, Guilty Pleasures, Necromancy and Succubus, NA, NA, NA, NA, NA, NA, NA, NA
Anita Pierce, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anita Roy, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aniu, NA, NA, NA, Balto (film), Alaskan tundra wolf, NA, NA, NA, NA, NA, NA, NA, NA
Anjana, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ankhtepot, NA, NA, NA, NA, Mummy (Dungeons & Dragons), NA, NA, NA, NA, NA, NA, NA, NA
Ann Ewing (Dallas), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ann Perkins, NA, NA, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna (Disney), NA, Adam Horowitz and Edward Kitsis and Chris Buck and Jennifer Lee (filmmaker), NA, A Tale of Two Sisters (4.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna De Souza, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Del Amico, NA, NA, NA, May 1 1997. and (3x20 Random Acts), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Devane, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna DiMera, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Fortune, NA, Matthew Sturges and Freddie Williams II, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Green (Hollyoaks), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Kyoyama, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Milton, NA, NA, NA, I Know What You Did Last Summer, Characters of Supernatural, NA, NA, NA, NA, NA, NA, NA, NA
Anna Stern, NA, Josh Schwartz, NA, The Debut and (episode 1.04), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anna Windass, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annabelle Collins, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annabeth Schott, NA, Debora Cahn, NA, Liftoff, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annalise Hartman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annalise Keating, NA, Peter Nowalk, NA, Pilot and (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Foster, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Glass, NA, Robert Rodat, NA, Live and Learn, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Kahu, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Matheson, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Wilkinson, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annegret Wittkamp, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annex (comics), NA, Jack C. Harris and Tom Lyle, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Campbell, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Cartwright, NA, NA, NA, Life on Mars: Episode 1 series 1, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Douglas Richards, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Dutton, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Hacker, NA, NA, NA, Open Government, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Lavery, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie McNamara, NA, Ryan Murphy (writer), NA, Pilot (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Palmer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Sawyer, NA, Toby Whithouse, NA, Pilot episode(2008), NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Sugden, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Walker, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie Wilkes, NA, Stephen King, NA, Misery (novel), NA, NA, NA, NA, NA, NA, NA, NA, NA
Annie and Clarabel, NA, NA, NA, Thomas the Tank Engine(The Railway Series) and Thomas and the Breakdown Train (Thomas and Friends), NA, NA, NA, NA, NA, NA, NA, NA, NA
Annihilus, NA, Jack Kirby and Stan Lee, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anole (comics), NA, Nunzio DeFilippis and Christina Weir, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ansgar von Lahnstein, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Answer (comics), NA, Al Milgrom and Jim Mooney and Dan Jurgens, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ant-Man, NA, Jack Kirby and Stan Lee and Larry Lieber, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ant-Man (Scott Lang), NA, John Byrne (comics) and David Michelinie, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
